"id_patient","redcap_repeat_instrument","redcap_repeat_instance","birthdate_patient","deathdate_patient","ssn_patient","drivers_patient","passport_patient","prefix_patient","first_patient","last_patient","suffix_patient","maiden_patient","marital_patient","race_patient","ethnicity_patient","gender_patient","birthplace_patient","address_patient","city_patient","state_patient","fips_patient","suburb_patient","zip_patient","lat_patient","lon_patient","healthcare_expenses_patient","healthcare_coverage_patient","income_patient","patients_complete","start_medication","stop_medication","payer_medication","encounter_medication","code_medication","description_medication","base_cost_medication","payer_coverage_medication","dispenses_medication","totalcost_medication","reasoncode_medication","reasondescription_medication","medications_complete","start_condition","stop_condition","encounter_condition","code_condition","description_condition","conditions_complete"
"000a998e-fc9b-f146-f3de-1727d2386366","medications",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02 13:17:27,2018-05-08 13:17:27,"26aab0cd-6aba-3e1b-ac5b-05c8867e762c","9cc2d88c-1a16-74a9-7cb9-e58e9d54f1ed",308136,"amLODIPine 2.5 MG Oral Tablet",2.05,0,4,8.2,59621000,"Essential hypertension (disorder)",0,NA,NA,NA,NA,NA,NA
"000a998e-fc9b-f146-f3de-1727d2386366","medications",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-09 13:17:27,NA,"26aab0cd-6aba-3e1b-ac5b-05c8867e762c","9cc2d88c-1a16-74a9-7cb9-e58e9d54f1ed",309362,"Clopidogrel 75 MG Oral Tablet",1589.01,0,83,131887.83,NA,NA,0,NA,NA,NA,NA,NA,NA
"000a998e-fc9b-f146-f3de-1727d2386366","medications",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-09 13:17:27,NA,"26aab0cd-6aba-3e1b-ac5b-05c8867e762c","9cc2d88c-1a16-74a9-7cb9-e58e9d54f1ed",312961,"Simvastatin 20 MG Oral Tablet",1239.13,0,83,102847.79,NA,NA,0,NA,NA,NA,NA,NA,NA
"000a998e-fc9b-f146-f3de-1727d2386366","medications",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-09 13:17:27,NA,"26aab0cd-6aba-3e1b-ac5b-05c8867e762c","9cc2d88c-1a16-74a9-7cb9-e58e9d54f1ed",866412,"24 HR metoprolol succinate 100 MG Extended Release Oral Tablet",260.78,0,83,21644.74,NA,NA,0,NA,NA,NA,NA,NA,NA
"000a998e-fc9b-f146-f3de-1727d2386366","medications",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-09 13:17:27,NA,"26aab0cd-6aba-3e1b-ac5b-05c8867e762c","9cc2d88c-1a16-74a9-7cb9-e58e9d54f1ed",705129,"Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray",195.1,0,83,16193.3,NA,NA,0,NA,NA,NA,NA,NA,NA
"000a998e-fc9b-f146-f3de-1727d2386366","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-05-02,NA,"9cc2d88c-1a16-74a9-7cb9-e58e9d54f1ed",414545008,"Ischemic heart disease (disorder)",0
"0a8725b4-9936-ff53-73e1-c9aa07d9a971",NA,NA,1944-06-11,NA,"999-47-6130","S99967391","X21091867X","Mr.","Mario764","Araña824",NA,NA,1,"white","Other",1,"Lima  Lima Province  PE","784 Zemlak Rest","Yarra Ranges","Victoria",6037,"Carlton",3799,-37.727566,145.818512,329121.45,762813.26,70477,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0a8725b4-9936-ff53-73e1-c9aa07d9a971","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-06-23 14:30:10,2018-11-10 14:30:10,"a735bf55-83e9-331a-899d-a82a60b9f60c","7470c257-4d9d-a149-d94c-5b4652daf60d",314076,"lisinopril 10 MG Oral Tablet",1.84,0,1,1.84,59621000,"Essential hypertension (disorder)",0,NA,NA,NA,NA,NA,NA
"0a8725b4-9936-ff53-73e1-c9aa07d9a971","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-12-14,NA,"17d17c30-0d65-3b80-90b6-c3e1e6096f26",414545008,"Ischemic heart disease (disorder)",0
"0a8725b4-9936-ff53-73e1-c9aa07d9a971","conditions",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-10,NA,"7470c257-4d9d-a149-d94c-5b4652daf60d",414545008,"Ischemic heart disease (disorder)",0
"0abf95d5-76e9-d21d-4f99-98ff105b4e23",NA,NA,1922-06-13,NA,"999-32-1327","S99911403","X63165771X","Mrs.","Anisa442","Fisher429",NA,"Hauck852",NA,"white","Other",2,"Funchal  Madeira  PT","973 Heller Light","Wellington","Victoria",25017,"St Kilda",3875,-37.826032,147.63201,349000.82,918349.28,89057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0abf95d5-76e9-d21d-4f99-98ff105b4e23","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-06-13,NA,"f798ddf8-8b68-8cd8-9ffb-def872938a44",414545008,"Ischemic heart disease (disorder)",0
"0b2a8731-0e54-6185-767b-bbb1385bfb9b",NA,NA,1989-09-21,NA,"999-73-4094","S99957291","X66606875X","Mr.","Alejandro916","Crespo500",NA,NA,1,"white","Other",1,"Bogota  Bogota  CO","785 Robel Ville Suite 18","Towong","Victoria",6071,"Port Melbourne",3691,-36.027154,147.880991,7732.02,161234.18,4679,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0b2a8731-0e54-6185-767b-bbb1385bfb9b","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-13 06:26:05,NA,"df166300-5a78-3502-a46a-832842197811","d4724b00-4d86-d24e-38b1-14bc89b71ceb",309362,"Clopidogrel 75 MG Oral Tablet",563.56,513.56,283,159487.48,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b2a8731-0e54-6185-767b-bbb1385bfb9b","medications",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-13 06:26:05,NA,"df166300-5a78-3502-a46a-832842197811","d4724b00-4d86-d24e-38b1-14bc89b71ceb",312961,"Simvastatin 20 MG Oral Tablet",361.95,311.95,283,102431.85,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b2a8731-0e54-6185-767b-bbb1385bfb9b","medications",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-13 06:26:05,NA,"df166300-5a78-3502-a46a-832842197811","d4724b00-4d86-d24e-38b1-14bc89b71ceb",866412,"24 HR metoprolol succinate 100 MG Extended Release Oral Tablet",129.94,79.94,283,36773.02,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b2a8731-0e54-6185-767b-bbb1385bfb9b","medications",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-13 06:26:05,NA,"df166300-5a78-3502-a46a-832842197811","d4724b00-4d86-d24e-38b1-14bc89b71ceb",705129,"Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray",336.82,286.82,283,95320.06,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b2a8731-0e54-6185-767b-bbb1385bfb9b","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-06,NA,"d4724b00-4d86-d24e-38b1-14bc89b71ceb",414545008,"Ischemic heart disease (disorder)",0
"0b3d6aed-b766-ff46-de70-c434ea038269",NA,NA,1969-03-09,NA,"999-26-5326","S99978875","X63016814X","Mr.","Sol312","Lowe577",NA,NA,NA,"white","Other",1,"Angels  California  US","927 Feest Stravenue Unit 43","Northern Grampians","Victoria",6013,"Middle Park",3478,-36.688551,143.230699,103286.69,94775.55,96541,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0b3d6aed-b766-ff46-de70-c434ea038269","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-05 02:55:48,NA,"a735bf55-83e9-331a-899d-a82a60b9f60c","c1451838-696d-e733-207d-eb37a8afe5b5",309362,"Clopidogrel 75 MG Oral Tablet",2816.24,2252.99,109,306970.16,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b3d6aed-b766-ff46-de70-c434ea038269","medications",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-05 02:55:48,NA,"a735bf55-83e9-331a-899d-a82a60b9f60c","c1451838-696d-e733-207d-eb37a8afe5b5",312961,"Simvastatin 20 MG Oral Tablet",560.91,448.73,109,61139.19,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b3d6aed-b766-ff46-de70-c434ea038269","medications",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-05 02:55:48,NA,"a735bf55-83e9-331a-899d-a82a60b9f60c","c1451838-696d-e733-207d-eb37a8afe5b5",866412,"24 HR metoprolol succinate 100 MG Extended Release Oral Tablet",260.78,208.62,109,28425.02,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b3d6aed-b766-ff46-de70-c434ea038269","medications",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-05 02:55:48,NA,"a735bf55-83e9-331a-899d-a82a60b9f60c","c1451838-696d-e733-207d-eb37a8afe5b5",705129,"Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray",419.52,335.62,109,45727.68,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b3d6aed-b766-ff46-de70-c434ea038269","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-03-29,NA,"c1451838-696d-e733-207d-eb37a8afe5b5",414545008,"Ischemic heart disease (disorder)",0
"0b5c2b1d-8523-c898-4a2e-9d663b8cbe0b",NA,NA,1961-06-23,NA,"999-37-6584","S99957263","X28993809X","Mr.","Joaquín233","Zamora648",NA,NA,1,"white","Other",1,"Santo Domingo  National District  DO","414 Ondricka Trace Apt 63","Bass Coast","Victoria",6095,"North Melbourne",3995,-38.578071,145.630713,171921.45,262015.57,54463,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0b5c2b1d-8523-c898-4a2e-9d663b8cbe0b","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-20 06:52:44,NA,"8fa6c185-e44e-3e34-8bd8-39be8694f4ce","0de2e763-a291-daae-2f46-d24972ddd24a",309362,"Clopidogrel 75 MG Oral Tablet",302.51,0,203,61409.53,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b5c2b1d-8523-c898-4a2e-9d663b8cbe0b","medications",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-20 06:52:44,NA,"8fa6c185-e44e-3e34-8bd8-39be8694f4ce","0de2e763-a291-daae-2f46-d24972ddd24a",312961,"Simvastatin 20 MG Oral Tablet",1524.55,0,203,309483.65,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b5c2b1d-8523-c898-4a2e-9d663b8cbe0b","medications",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-20 06:52:44,NA,"8fa6c185-e44e-3e34-8bd8-39be8694f4ce","0de2e763-a291-daae-2f46-d24972ddd24a",866412,"24 HR metoprolol succinate 100 MG Extended Release Oral Tablet",260.78,0,203,52938.34,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b5c2b1d-8523-c898-4a2e-9d663b8cbe0b","medications",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-20 06:52:44,NA,"8fa6c185-e44e-3e34-8bd8-39be8694f4ce","0de2e763-a291-daae-2f46-d24972ddd24a",705129,"Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray",709.18,0,203,143963.54,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b5c2b1d-8523-c898-4a2e-9d663b8cbe0b","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-13,NA,"0de2e763-a291-daae-2f46-d24972ddd24a",414545008,"Ischemic heart disease (disorder)",0
"0b5e32de-215a-eecd-c824-72531c54d704",NA,NA,2014-11-29,NA,"999-41-6272",NA,NA,NA,"Byron202","Schaefer657",NA,NA,NA,"white","Other",1,"Porterville  California  US","1051 Nikolaus Trailer Unit 19","South Gippsland","Victoria",6065,"Clifton Hill",3953,-38.460127,145.995174,30757.21,36667.02,66401,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0b5e32de-215a-eecd-c824-72531c54d704","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-05 02:32:30,2015-04-11 02:32:30,"d18ef2e6-ef40-324c-be54-34a5ee865625","9a2323bf-69e3-ceab-3c4c-dcccbf9b234b",860975,"24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet",14.95,0,12,179.4,44054006,"Diabetes mellitus type 2 (disorder)",0,NA,NA,NA,NA,NA,NA
"0b5e32de-215a-eecd-c824-72531c54d704","medications",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-12 02:32:30,NA,"d18ef2e6-ef40-324c-be54-34a5ee865625","9a2323bf-69e3-ceab-3c4c-dcccbf9b234b",309362,"Clopidogrel 75 MG Oral Tablet",398.11,363.11,121,48171.31,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b5e32de-215a-eecd-c824-72531c54d704","medications",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-12 02:32:30,NA,"d18ef2e6-ef40-324c-be54-34a5ee865625","9a2323bf-69e3-ceab-3c4c-dcccbf9b234b",312961,"Simvastatin 20 MG Oral Tablet",277.42,242.42,121,33567.82,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b5e32de-215a-eecd-c824-72531c54d704","medications",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-12 02:32:30,NA,"d18ef2e6-ef40-324c-be54-34a5ee865625","9a2323bf-69e3-ceab-3c4c-dcccbf9b234b",866412,"24 HR metoprolol succinate 100 MG Extended Release Oral Tablet",129.94,94.94,121,15722.74,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b5e32de-215a-eecd-c824-72531c54d704","medications",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-12 02:32:30,NA,"d18ef2e6-ef40-324c-be54-34a5ee865625","9a2323bf-69e3-ceab-3c4c-dcccbf9b234b",705129,"Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray",474.34,439.34,121,57395.14,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b5e32de-215a-eecd-c824-72531c54d704","conditions",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-05,NA,"9a2323bf-69e3-ceab-3c4c-dcccbf9b234b",414545008,"Ischemic heart disease (disorder)",0
"0b8fbd7f-89a6-7972-9b44-604e81bd732c",NA,NA,1920-02-02,2010-01-24,"999-95-1498","S99922608","X25807850X","Mr.","Rodrigo242","Little434",NA,NA,NA,"white","Other",1,"Aliso Viejo  California  US","544 Russel Loaf Unit 66","Wellington","Victoria",6107,"Cremorne",3860,-37.68351367,146.8512398,382048.12,1028161.94,109600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0b8fbd7f-89a6-7972-9b44-604e81bd732c","medications",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-02-12 20:32:13,NA,"e03e23c9-4df1-3eb6-a62d-f70f02301496","cebc2e3a-0c7f-b5b0-d25b-480bd14bb02d",866412,"24 HR metoprolol succinate 100 MG Extended Release Oral Tablet",260.78,0,315,82145.7,NA,NA,0,NA,NA,NA,NA,NA,NA
"0b8fbd7f-89a6-7972-9b44-604e81bd732c","medications",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-02-12 20:32:13,NA,"e03e23c9-4df1-3eb6-a62d-f70f02301496","cebc2e3a-0c7f-b5b0-d25b-480bd14bb02d",705129,"Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray",998.17,0,315,314423.55,NA,NA,0,NA,NA,NA,NA,NA,NA
